id,key,value,type
606157,source,survey,regular
606160,highway,traffic_signals,regular
606162,highway,traffic_signals,regular
606169,highway,traffic_signals,regular
606296,source,Bing;survey,regular
606310,source,Bing;survey,regular
606316,source,Bing;survey,regular
606327,highway,traffic_signals,regular
606333,highway,crossing,regular
606335,sound,yes,traffic_signals
606340,old_name,West Port,regular
606373,source,Bing;survey,regular
606379,tactile_paving,yes,regular
606401,source,Bing;survey,regular
606424,source,Bing;survey,regular
606447,highway,traffic_signals,regular
606449,source,Bing;survey,regular
609447,highway,traffic_signals,regular
609465,highway,traffic_signals,regular
609479,source,Bing;survey,regular
609483,source,Bing;survey,regular
609491,source,Bing;survey,regular
609524,source,Bing;survey,regular
609540,highway,traffic_signals,regular
609723,highway,traffic_signals,regular
609735,source,Bing;survey,regular
609741,source,Bing;survey,regular
610631,highway,traffic_signals,regular
610662,highway,traffic_signals,regular
610663,highway,traffic_signals,regular
610667,highway,traffic_signals,disused
610676,source,Bing;survey,regular
610688,highway,crossing,regular
610691,cycleway,asl,regular
610692,source,Bing;survey,regular
610698,source,Bing;survey,regular
610714,barrier,bollard,regular
610720,source,Bing;survey,regular
610737,source,Bing;survey,regular
610784,source,Bing;survey,regular
610813,source,Bing;survey,regular
612109,highway,traffic_signals,regular
612116,highway,traffic_signals,regular
612124,highway,traffic_signals,regular
612139,sound,yes,traffic_signals
612151,highway,traffic_signals,regular
612157,highway,traffic_signals,regular
612159,highway,traffic_signals,regular
612160,highway,traffic_signals,regular
612166,highway,traffic_signals,regular
612705,source,Bing;survey,regular
614614,highway,traffic_signals,regular
614620,source,Bing;survey,regular
614632,highway,crossing,regular
615172,highway,mini_roundabout,regular
615179,highway,traffic_signals,regular
615182,highway,crossing,regular
615195,highway,traffic_signals,regular
625409,source,Bing;survey,regular
637486,source,Bing;survey,regular
637505,source,Bing;survey,regular
637613,source,survey,regular
637617,source,Bing;survey,regular
637623,source,Bing;survey,regular
637628,source,Bing;survey,regular
637662,source,Bing;survey,regular
637687,source,Bing;survey,regular
637698,source,Bing;survey,regular
637701,source,Bing;survey,regular
637738,source,Bing;survey,regular
638386,source,Bing;survey,regular
638415,created_by,JOSM,regular
638601,barrier,swing_gate,regular
641618,highway,traffic_signals,regular
645292,direction,forward,traffic_signals
645445,source,Bing;survey,regular
645450,source,Bing;survey,regular
8548548,highway,traffic_signals,regular
13795995,source,Bing;survey,regular
13876448,tactile_paving,yes,regular
13881924,source,Bing;survey,regular
13881927,source,Bing;survey,regular
13881936,direction,backward,traffic_signals
13881945,source,Bing;survey,regular
13882594,train,yes,regular
14005199,highway,traffic_signals,regular
14015492,highway,traffic_signals,regular
14347729,highway,traffic_signals,regular
14348183,highway,traffic_signals,regular
14348217,highway,traffic_signals,regular
14348245,source,Bing;survey,regular
14348246,source,Bing;survey,regular
17898859,wikipedia,en:Edinburgh,regular
20935520,sound,yes,traffic_signals
20935522,highway,traffic_signals,regular
20968522,highway,mini_roundabout,regular
20968532,created_by,JOSM,regular
20968533,created_by,JOSM,regular
20968534,created_by,JOSM,regular
20968535,created_by,JOSM,regular
20968536,created_by,JOSM,regular
20968537,created_by,JOSM,regular
20968538,created_by,JOSM,regular
20968539,created_by,JOSM,regular
20968540,created_by,JOSM,regular
20968541,created_by,JOSM,regular
20968542,created_by,JOSM,regular
21042678,name,EH9 159,regular
21042679,wheelchair,no,regular
21112118,royal_cypher,VR,regular
21113114,highway,crossing,regular
21135031,website,http://www.hopecottage-nur.edin.sch.uk/,regular
21238499,source,Bing;survey,regular
21286207,traffic_calming,table,regular
21306881,wheelchair,yes,regular
21307091,website,http://thedeskhop.co.uk/,regular
21454197,name,Burghmuirhead,regular
21455866,traffic_calming,table,regular
21504122,direction,forward,traffic_signals
21550592,traffic_calming,table,regular
21551382,barrier,bollard,regular
22453441,source,Bing;survey,regular
22453496,highway,turning_circle,regular
22453680,created_by,JOSM,regular
22453741,highway,crossing,regular
