id,user,uid,version,changeset,timestamp
3468,sairfeet,2042390,17,46594039,2017-03-05T11:50:24Z
2429886,drnoble,388774,17,46764229,2017-03-11T14:50:37Z
2429887,drnoble,388774,16,41132857,2016-07-30T19:37:34Z
2429890,drnoble,388774,12,41132857,2016-07-30T19:36:40Z
2429892,drnoble,388774,16,41132857,2016-07-30T19:37:35Z
2954058,tms13,91225,41,40723524,2016-07-13T20:12:55Z
2954059,saintam1,417398,7,44065883,2016-11-30T17:41:36Z
2956309,drnoble,388774,8,41132857,2016-07-30T19:36:31Z
2956310,saintam1,417398,19,44877711,2017-01-03T17:56:13Z
2956311,Mao-PU,124271,15,48785635,2017-05-18T09:36:16Z
2956313,saintam1,417398,21,43202641,2016-10-26T21:03:07Z
2956314,eric_,1798469,12,45604179,2017-01-28T21:08:36Z
2956316,saintam1,417398,22,47860309,2017-04-17T07:48:30Z
2956317,eric_,1798469,24,45303202,2017-01-19T17:26:02Z
2956321,eric_,1798469,19,46007907,2017-02-11T21:52:17Z
2956325,saintam1,417398,25,46403103,2017-02-25T21:03:03Z
2956326,Prototaxites,4597815,30,48698775,2017-05-15T11:22:47Z
2956327,drnoble,388774,17,41132857,2016-07-30T19:36:57Z
2956329,drnoble,388774,20,41132857,2016-07-30T19:36:58Z
2956332,MapNav_Tom,2046237,14,49319550,2017-06-06T21:47:12Z
2956333,drnoble,388774,13,46595831,2017-03-05T13:18:04Z
2956345,Ropino,42123,11,27827178,2014-12-31T17:40:32Z
2970983,MapNav_Tom,2046237,22,49312870,2017-06-06T17:48:51Z
2990879,sophiemccallum,2234934,7,29204202,2015-03-02T17:32:11Z
3017249,drnoble,388774,6,46595831,2017-03-05T13:18:04Z
3017254,MapNav_Tom,2046237,7,49312870,2017-06-06T17:51:05Z
3017271,drnoble,388774,17,47143147,2017-03-25T09:34:11Z
3017272,eric_,1798469,5,36746167,2016-01-22T19:10:30Z
3017274,saintam1,417398,20,42775625,2016-10-10T12:09:55Z
3017281,drnoble,388774,16,46500990,2017-03-01T18:28:05Z
3017282,pafs,6099744,18,49272844,2017-06-05T14:31:18Z
3818208,eric_,1798469,4,28443226,2015-01-27T14:26:52Z
3818214,drnoble,388774,7,46595831,2017-03-05T13:18:04Z
3819004,MapNav_Tom,2046237,16,49319550,2017-06-06T21:48:15Z
3819005,drnoble,388774,16,46595831,2017-03-05T13:18:05Z
3819006,eric_,1798469,12,31149480,2015-05-14T18:03:26Z
3819007,drnoble,388774,7,46595831,2017-03-05T13:18:05Z
3849560,jambamkin,53626,18,49242243,2017-06-04T13:07:15Z
3850463,jambamkin,53626,16,49242243,2017-06-04T13:06:11Z
3850464,jambamkin,53626,19,49242243,2017-06-04T13:06:18Z
3908324,eric_,1798469,18,45303202,2017-01-19T17:26:02Z
3908325,MapNav_Tom,2046237,13,49319550,2017-06-06T21:44:48Z
3908327,drnoble,388774,14,41132857,2016-07-30T19:36:56Z
3908328,Chris Fleming,4435,8,48788043,2017-05-18T11:00:12Z
3908329,eric_,1798469,20,45303202,2017-01-19T17:26:02Z
3908331,eric_,1798469,22,45303202,2017-01-19T17:26:02Z
3931647,eric_,1798469,24,45303202,2017-01-19T17:26:02Z
3931648,MapNav_Tom,2046237,21,49319550,2017-06-06T21:45:14Z
3931650,drnoble,388774,14,46992272,2017-03-19T20:01:49Z
3931651,drnoble,388774,10,46992272,2017-03-19T20:01:49Z
3932694,Mao-PU,124271,14,48785635,2017-05-18T09:44:38Z
3987824,tms13,91225,14,40723524,2016-07-13T20:12:59Z
3992691,drnoble,388774,22,41132857,2016-07-30T19:36:58Z
3992692,drnoble,388774,24,41132857,2016-07-30T19:36:59Z
3992693,drnoble,388774,25,41132857,2016-07-30T19:36:59Z
3992694,drnoble,388774,24,41132857,2016-07-30T19:36:57Z
3993976,drnoble,388774,14,46764229,2017-03-11T14:50:38Z
3993977,drnoble,388774,17,46764229,2017-03-11T14:50:38Z
3993996,michau,636803,6,11889858,2012-06-13T21:38:18Z
3993997,drnoble,388774,15,46595831,2017-03-05T13:18:05Z
3993998,sophiemccallum,2234934,8,31260164,2015-05-18T16:29:35Z
3993999,drnoble,388774,15,46595831,2017-03-05T13:18:06Z
3994000,eric_,1798469,9,31149480,2015-05-14T18:03:26Z
3994003,eric_,1798469,5,25609104,2014-09-22T18:06:46Z
3994034,drnoble,388774,13,46764229,2017-03-11T14:50:38Z
3994035,drnoble,388774,29,46764229,2017-03-11T14:50:38Z
3995766,MapNav_Tom,2046237,9,49319550,2017-06-06T21:40:01Z
3998717,jamesks,2500,16,20526000,2014-02-12T16:56:47Z
4000969,saintam1,417398,11,44877711,2017-01-03T17:56:14Z
4000970,saintam1,417398,20,44877711,2017-01-03T17:56:15Z
4000972,drnoble,388774,16,46500990,2017-03-01T18:28:05Z
4003474,eric_,1798469,11,46060402,2017-02-13T20:18:28Z
4003475,eric_,1798469,7,46078109,2017-02-14T12:43:58Z
4003476,drnoble,388774,9,46595831,2017-03-05T13:18:06Z
4003477,drnoble,388774,11,46595831,2017-03-05T13:18:06Z
4003478,drnoble,388774,16,41132857,2016-07-30T19:37:45Z
4003493,sophiemccallum,2234934,7,47775565,2017-04-14T10:26:55Z
4003494,eric_,1798469,5,33032967,2015-08-01T16:12:34Z
4003495,tms13,91225,4,22027626,2014-04-29T17:40:08Z
4003515,saintam1,417398,10,43213086,2016-10-27T09:25:00Z
4006433,eric_,1798469,4,45878620,2017-02-07T08:49:58Z
4006434,drnoble,388774,6,46764229,2017-03-11T14:50:39Z
4006435,drnoble,388774,19,41132857,2016-07-30T19:37:45Z
4006437,drnoble,388774,14,48653262,2017-05-13T16:04:38Z
4006439,drnoble,388774,55,41132857,2016-07-30T19:37:11Z
4006440,drnoble,388774,12,41132857,2016-07-30T19:37:10Z
4006441,drnoble,388774,18,41132857,2016-07-30T19:37:34Z
4006442,eisa,1939732,5,30091561,2015-04-09T11:22:19Z
4006443,eisa,1939732,8,30091561,2015-04-09T11:22:38Z
4006444,drnoble,388774,14,41132857,2016-07-30T19:37:11Z
4006445,drnoble,388774,17,41132857,2016-07-30T19:37:35Z
4006446,drnoble,388774,5,41132857,2016-07-30T19:37:27Z
4006447,eisa,1939732,10,30093373,2015-04-09T12:52:35Z
4006448,eisa,1939732,5,30093373,2015-04-09T12:53:00Z
4006450,drnoble,388774,10,41132857,2016-07-30T19:37:07Z
4006451,drnoble,388774,8,41132857,2016-07-30T19:37:47Z
4006452,eric_,1798469,15,45878620,2017-02-07T08:49:58Z
4006455,eric_,1798469,25,46078109,2017-02-14T12:43:58Z
4006456,drnoble,388774,13,46764229,2017-03-11T14:50:39Z
4006532,Rostranimin,33764,13,46969903,2017-03-19T00:49:48Z
4006677,drnoble,388774,27,41132857,2016-07-30T19:37:34Z
4007686,eric_,1798469,16,46078109,2017-02-14T12:43:58Z
4007687,drnoble,388774,5,41132857,2016-07-30T19:37:23Z
4007688,eric_,1798469,6,46078109,2017-02-14T12:43:59Z
4007689,drnoble,388774,15,41132857,2016-07-30T19:36:52Z
4007690,eric_,1798469,19,46090098,2017-02-14T20:58:31Z
4007691,eisa,1939732,5,30093373,2015-04-09T12:52:54Z
4007692,eisa,1939732,5,30093373,2015-04-09T12:52:34Z
4007693,eisa,1939732,7,30093373,2015-04-09T12:52:34Z
4007696,eisa,1939732,2,30093373,2015-04-09T12:52:47Z
4007697,drnoble,388774,6,41132857,2016-07-30T19:37:58Z
4007699,eisa,1939732,6,30093373,2015-04-09T12:52:21Z
4007701,eisa,1939732,2,30093373,2015-04-09T12:52:54Z
4012511,Ropino,42123,6,27827178,2014-12-31T17:35:33Z
4012513,eric_,1798469,4,28441802,2015-01-27T13:06:36Z
4012515,saintam1,417398,4,45898488,2017-02-07T21:15:21Z
4012518,MapNav_Tom,2046237,8,49312870,2017-06-06T17:49:09Z
4012519,MapNav_Tom,2046237,8,49312870,2017-06-06T17:49:43Z
4016909,drnoble,388774,18,41132857,2016-07-30T19:37:12Z
4018876,Mao-PU,124271,12,48785635,2017-05-18T09:53:42Z
4018877,sophiemccallum,2234934,9,46714013,2017-03-09T16:18:11Z
4018878,sophiemccallum,2234934,11,46714013,2017-03-09T16:18:12Z
4018879,drnoble,388774,9,41132857,2016-07-30T19:37:04Z
4018880,drnoble,388774,8,41132857,2016-07-30T19:37:39Z
4018881,eric_,1798469,9,46078109,2017-02-14T12:43:59Z
4018882,eric_,1798469,9,46078109,2017-02-14T12:43:59Z
4018883,eric_,1798469,5,48837041,2017-05-20T06:56:17Z
4018885,drnoble,388774,9,41132857,2016-07-30T19:36:35Z
4018886,drnoble,388774,7,41132857,2016-07-30T19:38:00Z
4018887,eric_,1798469,12,46111181,2017-02-15T16:28:50Z
4018906,eisa,1939732,5,30092190,2015-04-09T11:52:57Z
4018907,eisa,1939732,7,30092190,2015-04-09T11:52:57Z
4018908,eisa,1939732,6,30092190,2015-04-09T11:52:58Z
4018909,eric_,1798469,14,46001401,2017-02-11T16:15:26Z
4018910,drnoble,388774,18,41132857,2016-07-30T19:37:29Z
4018916,pafs,6099744,24,49272844,2017-06-05T14:31:17Z
4018917,saintam1,417398,15,42775625,2016-10-10T12:09:54Z
4018918,saintam1,417398,12,42775625,2016-10-10T12:09:54Z
4018919,eric_,1798469,8,40097172,2016-06-17T15:22:56Z
4018920,eric_,1798469,11,40044519,2016-06-15T18:38:09Z
4018921,eric_,1798469,8,40097172,2016-06-17T15:23:01Z
4018923,eric_,1798469,15,40201420,2016-06-22T10:27:28Z
4018942,drnoble,388774,8,46577142,2017-03-04T17:02:14Z
4018943,drnoble,388774,14,46577142,2017-03-04T17:02:14Z
4018945,tms13,91225,15,40555242,2016-07-07T20:27:23Z
4018946,drnoble,388774,23,41132857,2016-07-30T19:37:14Z
4018954,Rostranimin,33764,14,46967548,2017-03-18T22:06:45Z
4018969,sairfeet,2042390,17,46557011,2017-03-03T19:47:41Z
4018979,MapNav_Tom,2046237,28,49327730,2017-06-07T07:54:13Z
4019080,drnoble,388774,8,41132857,2016-07-30T19:37:52Z
4019100,eric_,1798469,27,45483856,2017-01-25T17:34:18Z
4045043,eric_,1798469,8,39559530,2016-05-25T15:51:13Z
4045044,eric_,1798469,7,39408201,2016-05-18T18:42:21Z
4045046,eric_,1798469,10,35857268,2015-12-10T00:39:52Z
4048467,eric_,1798469,5,33730670,2015-09-01T15:31:59Z
4048646,drnoble,388774,3,21465382,2014-04-02T20:23:06Z
4048648,eric_,1798469,5,31149480,2015-05-14T18:03:25Z
4048680,sophiemccallum,2234934,7,33466364,2015-08-20T16:36:05Z
4049619,eric_,1798469,15,39621845,2016-05-28T10:45:34Z
4049896,Rostranimin,33764,17,47180786,2017-03-26T17:34:17Z
4060748,eric_,1798469,12,40097172,2016-06-17T15:22:59Z
