id,key,value,type
3468,highway,tertiary,regular
3468,lanes,3,regular
3468,backward,1,lanes
3468,forward,2,lanes
3468,lit,yes,regular
3468,maxspeed,20 mph,regular
3468,name,Albyn Place,regular
3468,sidewalk,both,regular
3468,source,Bing,regular
2429886,access,permissive,regular
2429886,highway,tertiary,regular
2429886,junction,roundabout,regular
2429886,lit,yes,regular
2429886,maxspeed,20 mph,regular
2429886,name,Queens Drive,regular
2429887,direction,clockwise,regular
2429887,highway,tertiary,regular
2429887,junction,roundabout,regular
2429887,lit,yes,regular
2429887,maxspeed,20 mph,regular
2429887,name,Queen's Drive,regular
2429887,oneway,yes,regular
2429887,source,Bing,regular
2429890,highway,tertiary,regular
2429890,junction,roundabout,regular
2429890,lit,yes,regular
2429890,maxspeed,20 mph,regular
2429890,name,Canongate,regular
2429890,oneway,yes,regular
2429890,source,Bing,regular
2429892,highway,tertiary,regular
2429892,junction,roundabout,regular
2429892,lit,yes,regular
2429892,maxspeed,20 mph,regular
2429892,name,Queen's Drive,regular
2429892,oneway,yes,regular
2429892,source,Bing,regular
2954058,highway,tertiary,regular
2954058,maxspeed,20 mph,regular
2954058,name,Cowgate,regular
2954058,sidewalk,both,regular
2954058,source,Bing,regular
2954059,bridge,yes,regular
2954059,highway,primary,regular
2954059,backward,2,lanes
2954059,forward,2,lanes
2954059,layer,2,regular
2954059,lit,yes,regular
2954059,maxspeed,20 mph,regular
2954059,name,North Bridge,regular
2954059,ref,A7,regular
2954059,sidewalk,both,regular
2954059,source,Bing,regular
2954059,surface,asphalt,regular
2954059,lanes,left|through,turn:backward
2956309,highway,residential,regular
2956309,incline,down,regular
2956309,maxspeed,20 mph,regular
2956309,name,Blair Street,regular
2956309,oneway,yes,regular
2956309,source,Bing,regular
2956309,surface,cobblestone,regular
2956310,highway,tertiary,regular
2956310,int_name,The Royal Mile,regular
2956310,lit,yes,regular
2956310,maxspeed,20 mph,regular
2956310,name,Lawnmarket,regular
2956310,sidewalk,both,regular
2956310,source,Bing,regular
2956310,surface,cobblestone,regular
2956310,wikipedia,en:Royal Mile,regular
2956311,highway,tertiary,regular
2956311,maxspeed,20 mph,regular
2956311,name,Candlemaker Row,regular
2956311,oneway,yes,regular
2956311,bicycle,no,oneway
2956311,bus,no,oneway
2956311,sidewalk,both,regular
2956311,source,Bing,regular
2956311,surface,asphalt,regular
2956313,highway,tertiary,regular
2956313,maxspeed,20 mph,regular
2956313,name,Grassmarket,regular
2956313,smoothness,excellent,regular
2956313,source,Bing,regular
2956313,surface,asphalt,regular
2956314,highway,service,regular
2956314,maxspeed,20 mph,regular
2956314,name,Grassmarket,regular
2956314,oneway,yes,regular
2956314,source,Bing,regular
2956314,surface,cobblestone,regular
2956316,highway,tertiary,regular
2956316,lanes,2,regular
2956316,maxspeed,20 mph,regular
2956316,name,Waverley Bridge,regular
2956316,sidewalk,separate,regular
2956316,source,Bing,regular
2956317,cycleway,lane,regular
2956317,highway,tertiary,regular
2956317,lanes,2,regular
2956317,lit,yes,regular
2956317,maxspeed,20 mph,regular
2956317,name,The Mound,regular
2956317,sidewalk,both,regular
2956317,source,Bing,regular
2956321,highway,unclassified,regular
2956321,int_name,The Royal Mile,regular
2956321,lit,yes,regular
2956321,maxspeed,20 mph,regular
2956321,name,High Street,regular
2956321,sidewalk,both,regular
2956321,source,Bing,regular
2956321,surface,cobblestone,regular
2956321,wikipedia,en:Royal Mile,regular
2956325,highway,tertiary,regular
2956325,maxspeed,20 mph,regular
2956325,name,Princes Street,regular
2956325,note,Princes Street is no longer the A8 see http://en.wikipedia.org/wiki/A8_road_(Scotland),regular
2956325,old_ref,A8,regular
2956325,oneway,yes,regular
2956325,sidewalk,separate,regular
2956325,source,Bing,regular
2956326,access,no,regular
2956326,bicycle,designated,regular
2956326,bus,designated,regular
2956326,foot,yes,regular
2956326,highway,unclassified,regular
2956326,maxspeed,20 mph,regular
2956326,motor_vehicle,no,regular
2956326,name,Princes Street,regular
2956326,note,Princes Street is no longer the A8 see http://en.wikipedia.org/wiki/A8_road_(Scotland),regular
2956326,old_ref,A8,regular
2956326,oneway,yes,regular
2956326,sidewalk,separate,regular
2956326,source,Bing,regular
2956326,surface,asphalt,regular
2956326,taxi,designated,regular
2956326,wikipedia,en:Princes Street,regular
2956327,highway,unclassified,regular
2956327,lit,yes,regular
2956327,maxspeed,20 mph,regular
2956327,name,George Street,regular
2956327,oneway,yes,regular
2956327,source,Bing,regular
2956327,surface,paved,regular
2956327,wikipedia,en:George Street Edinburgh,regular
2956329,highway,unclassified,regular
2956329,lit,yes,regular
2956329,maxspeed,20 mph,regular
2956329,name,George Street,regular
2956329,oneway,yes,regular
2956329,source,Bing,regular
2956329,surface,paved,regular
2956329,wikipedia,en:George Street Edinburgh,regular
2956332,highway,primary,regular
2956332,lit,yes,regular
2956332,maxspeed,20 mph,regular
2956332,name,Nicolson Street,regular
2956332,ref,A7,regular
2956332,source,Bing,regular
2956332,surface,asphalt,regular
2956333,highway,primary,regular
2956333,lit,yes,regular
2956333,maxspeed,20 mph,regular
2956333,name,South Clerk Street,regular
2956333,ref,A7,regular
2956333,sidewalk,both,regular
2956333,source,Bing,regular
2956345,bicycle,no,regular
2956345,foot,no,regular
2956345,highway,tertiary,regular
2956345,lanes,2,regular
2956345,lit,yes,regular
2956345,maxspeed,40 mph,regular
2956345,name,West Approach Road,regular
2956345,source,OS_OpenData_StreetView,regular
2970983,highway,primary,regular
2970983,lanes,2,regular
2970983,lit,yes,regular
2970983,maxspeed,20 mph,regular
2970983,name,Melville Drive,regular
2970983,ref,A700,regular
2970983,source,Bing,regular
2970983,surface,asphalt,regular
2990879,highway,residential,regular
2990879,lanes,2,regular
2990879,lit,yes,regular
2990879,maxspeed,20 mph,regular
2990879,name,Grange Crescent,regular
2990879,sidewalk,both,regular
2990879,surface,asphalt,regular
3017249,highway,unclassified,regular
3017249,maxspeed,20 mph,regular
3017249,name,Summerhall Square,regular
3017254,cycleway,lane,regular
3017254,highway,tertiary,regular
3017254,lit,yes,regular
3017254,maxspeed,20 mph,regular
3017254,name,Ratcliffe Terrace,regular
3017254,surface,asphalt,regular
3017271,highway,tertiary,regular
3017271,lanes,2,regular
3017271,lit,yes,regular
3017271,maxspeed,20 mph,regular
3017271,name,Strathearn Place,regular
3017271,sidewalk,both,regular
3017271,surface,asphalt,regular
3017272,highway,residential,regular
3017272,maxspeed,20 mph,regular
3017272,name,Greenhill Place,regular
3017274,highway,residential,regular
3017274,maxspeed,20 mph,regular
3017274,name,Whitehouse Loan,regular
3017274,left,Alvanley Terrace,name
3017274,sidewalk,both,regular
3017274,smoothness,excellent,regular
3017274,source,Bing,regular
3017274,surface,asphalt,regular
3017281,highway,tertiary,regular
3017281,lanes,2,regular
3017281,maxspeed,20 mph,regular
3017281,name,Marchmont Road,regular
3017281,sidewalk,both,regular
3017282,bicycle,designated,regular
3017282,right,lane,cycleway
3017282,foot,designated,regular
3017282,highway,pedestrian,regular
3017282,lcn,yes,regular
3017282,lit,yes,regular
3017282,name,Middle Meadow Walk,regular
3017282,segregated,yes,regular
3017282,source,Bing,regular
3017282,surface,asphalt,regular
3017282,width,6,regular
3818208,highway,residential,regular
3818208,maxspeed,20 mph,regular
3818208,name,Blackwood Crescent,regular
3818208,source,Bing,regular
3818214,highway,primary,regular
3818214,maxspeed,20 mph,regular
3818214,name,West Preston Street,regular
3818214,ref,A700,regular
3819004,comment,reinstate prev not:name tag,regular
3819004,cycleway,lane,regular
3819004,highway,primary,regular
3819004,maxspeed,20 mph,regular
3819004,name,Summerhall,regular
3819004,name,Summerhall Crescent,not
3819004,ref,A700,regular
3819004,source,Bing,regular
3819004,surface,asphalt,regular
3819005,highway,primary,regular
3819005,lanes,2,regular
3819005,lit,yes,regular
3819005,maxspeed,20 mph,regular
3819005,name,East Preston Street,regular
3819005,old_ref,A68,regular
3819005,ref,A7,regular
3819005,sidewalk,both,regular
3819005,source,Bing,regular
3819006,highway,tertiary,regular
3819006,lit,yes,regular
3819006,maxspeed,20 mph,regular
3819006,name,Salisbury Place,regular
3819007,cycleway,lane,regular
3819007,highway,primary,regular
3819007,lanes,3,regular
3819007,forward,2,lanes
3819007,lit,yes,regular
3819007,maxspeed,20 mph,regular
3819007,name,Summerhall Place,regular
3819007,right,Lord Russell Place,name
3819007,ref,A700,regular
3819007,sidewalk,both,regular
3819007,surface,asphalt,regular
3849560,highway,tertiary,regular
3849560,lanes,2,regular
3849560,lit,yes,regular
3849560,maxspeed,20 mph,regular
3849560,name,Henderson Terrace,regular
3849560,source,Bing,regular
3849560,surface,asphalt,regular
3850463,highway,primary,regular
3850463,lanes,2,regular
3850463,lit,yes,regular
3850463,maxspeed,20 mph,regular
3850463,name,Ardmillan Terrace,regular
3850463,ref,A70,regular
3850463,surface,asphalt,regular
3850464,highway,tertiary,regular
3850464,lanes,2,regular
3850464,lit,yes,regular
3850464,maxspeed,20 mph,regular
3850464,name,Angle Park Terrace,regular
3850464,source,Bing,regular
3850464,surface,asphalt,regular
3908324,cycleway,lane,regular
3908324,highway,tertiary,regular
3908324,lanes,2,regular
3908324,lit,yes,regular
3908324,maxspeed,20 mph,regular
3908324,name,Bank Street,regular
3908324,sidewalk,both,regular
3908324,source,Bing,regular
3908325,cycleway,lane,regular
3908325,highway,tertiary,regular
3908325,maxspeed,20 mph,regular
3908325,name,George IV Bridge,regular
3908325,sidewalk,both,regular
3908325,source,Bing,regular
3908325,surface,asphalt,regular
3908327,highway,tertiary,regular
3908327,lit,yes,regular
3908327,maxspeed,20 mph,regular
3908327,name,George IV Bridge,regular
3908327,sidewalk,both,regular
3908327,source,Bing,regular
3908328,bridge,yes,regular
3908328,highway,tertiary,regular
3908328,layer,1,regular
3908328,maxspeed,20 mph,regular
3908328,name,George IV Bridge,regular
3908328,source,Bing,regular
3908329,cycleway,lane,regular
3908329,highway,tertiary,regular
3908329,lanes,2,regular
3908329,lit,yes,regular
3908329,maxspeed,20 mph,regular
3908329,name,North Bank Street,regular
3908329,sidewalk,both,regular
3908329,source,Bing,regular
3908331,highway,tertiary,regular
3908331,lanes,2,regular
3908331,maxspeed,20 mph,regular
3908331,name,Market Street,regular
3908331,sidewalk,both,regular
3908331,source,Bing,regular
3931647,highway,tertiary_link,regular
3931647,maxspeed,20 mph,regular
3931647,name,Forrest Road,regular
3931647,oneway,yes,regular
3931647,sidewalk,both,regular
3931647,source,Bing,regular
3931648,highway,tertiary_link,regular
3931648,maxspeed,20 mph,regular
3931648,name,Teviot Place,regular
3931648,name,Lauriston Place,not
3931648,oneway,yes,regular
3931648,source,Bing,regular
3931648,surface,asphalt,regular
3931650,left,lane,cycleway
3931650,highway,tertiary,regular
3931650,maxspeed,20 mph,regular
3931650,oneway,yes,regular
3931650,source,Bing,regular
3931651,left,lane,cycleway
3931651,highway,tertiary,regular
3931651,maxspeed,20 mph,regular
3931651,name,Greyfriars Place,regular
3931651,oneway,yes,regular
3931651,source,Bing,regular
3932694,left,lane,cycleway
3932694,highway,tertiary,regular
3932694,maxspeed,20 mph,regular
3932694,name,Lothian Street,regular
3932694,oneway,yes,regular
3932694,sidewalk,left,regular
3932694,source,Bing,regular
3932694,surface,asphalt,regular
3987824,highway,unclassified,regular
3987824,maxspeed,20 mph,regular
3987824,name,West Bow,regular
